country,main_headline_he,image_headline_en,image_url,flashers_he,image_headline_ar,source_url,main_headline_en,image_headline_he,main_headline_ar,flashers_ar,source_key,source_name,flashers_en,last_fetched,id,created_date,updated_date,created_by_id,created_by,is_sample
"IL","טילים שוגרו מאיראן לדרום","Likud drops, Ben Gvir rises, Eisenkot strengthens | Maariv poll","","[""קצין ולוחם צה\""ל נפצעו באורח קשה בתאונה מבצעית בדרום לבנון"",""מטח רקטות לצפון: אזעקות בשורת יישובים בגליל ובקו העימות"",""זמן ההתגוננות בקו העימות יוארך"",""\""פגיעות קשות\"": הורים נעצרו בחשד לגרימת מות בנם התינוק"",""צה\""ל תקף את האתר המרכזי באיראן לייצור טילים ומוקשים ימיים""]","الليكוד يتراجع، بن غفير يرتفع، آيزنكوت يتقوى | استطلاع معاريف","https://www.walla.co.il","Missiles launched from Iran to the south","הליכוד יורד, בן גביר עולה, איזנקוט מתחזק | סקר מעריב","إطلاق صواريخ من إيران باتجاه الجنوب","[""إصابة ضابط وجندي من الجيش الإسرائيلي بجروح خطيرة في حادث عملياتي بجنوب لبنان"",""رشقة صاروخية باتجاه الشمال: صفارات الإنذار في عدة بلدات في الجليل وخط المواجهة"",""تمديد وقت الحماية في خط المواجهة"",""\""إصابات خطيرة\"": اعتقال والدين للاشتباه في تسببهما في وفاة ابنهما الرضيع"",""الجيش الإسرائيلي هاجم الموقع المركزي في إيران لإنتاج الصواريخ والألغام البحرية""]","walla","Walla News","[""IDF officer and soldier seriously injured in operational accident in southern Lebanon"",""Rocket barrage to the north: sirens in several settlements in the Galilee and the conflict line"",""Protection time in the conflict line to be extended"",""\""Severe injuries\"": Parents arrested on suspicion of causing their infant son's death"",""IDF attacked the central site in Iran for producing missiles and naval mines""]","2026-03-27T14:53:39.486Z","69c512617b561f1ee95fec43","2026-03-26T11:02:57.317000","2026-03-27T14:53:39.967000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"IL","נזקי השיגורים: רכב התהפך באיילון, שבר יירוט במלון במרכז","Iran tried to complete a dramatic move in the war - Israel thwarted it","","[""פיץ' הותירה את דירוג האשראי של ישראל ללא שינוי"",""שדדו סיגריות בעשרות אלפי שקלים: תיעוד השוד בחולון"",""מקורות באיראן לרויטרס: כוחם של התומכים בנשק גרעיני מתחזק"",""מסתמן: יוארכו זמני ההתגוננות ביישובי גבול הצפון"",""15 חולצו במאמצי החילוץ בשיטפון בנחל הערבה""]","إيران حاولت إتمام خطوة دراماتيكية في الحرب - إسرائيل أحبطتها","https://www.israelhayom.co.il","Launch damage: A vehicle overturned on Ayalon, an interception fragment in a hotel in the center","איראן ניסתה להשלים מהלך דרמטי במלחמה - ישראל סיכלה אותו","أضرار القذائف: انقلاب سيارة في أيالون، وشظايا اعتراض في فندق بالمركز","[""وكالة فيتش تبقي التصنيف الائتماني لإسرائيل دون تغيير"",""سرقة سجائر بعشرات آلاف الشواكل: توثيق عملية السطو في حولون"",""مصادر في إيران لרויטרס: قوة مؤيدي السلاح النووي تتزايد"",""من المتوقع: تمديد أوقات الدفاع في بلدات الحدود الشمالية"",""إنقاذ 15 شخصاً في جهود الإنقاذ من الفيضانات في وادي العربة""]","israelhayom","Israel Hayom","[""Fitch leaves Israel's credit rating unchanged"",""Cigarettes worth tens of thousands of shekels stolen: documentation of the robbery in Holon"",""Sources in Iran to Reuters: Power of nuclear weapon supporters is strengthening"",""Likely: Defense times in northern border settlements will be extended"",""15 rescued in flood rescue efforts in Nahal Arava""]","2026-03-27T14:54:18.434Z","69c5124935d24758af8fc0e2","2026-03-26T11:02:33.218000","2026-03-27T14:54:18.986000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"IL","ברגע האחרון: ההקלות שתוכננו לנתב""ג בוטלו","Far from home: This is how thousands of Israelis will celebrate Passover around the world","","[""טרגדיה בנהריה: אורי פרץ ז\""ל נהרג מפגיעת הטיל, 25 בני אדם פונו לבית החולים"",""תפנית בחקירה: מותו של יהודה שרמן ליד חומש – פיגוע דריסה"",""סמל אביעד אלחנן וולנסקי נהרג מפגיעת נ\""ט בלבנון"",""ליל שיגורים מאיראן: לפחות אחד הטילים נשא פצצת מצרר"",""חיזבאללה נחלץ לעזרת איראן - ויצטער על כך ממש בקרוב""]","بعيداً عن المنزل: هكذا سيحتفل آلاف الإسرائيليين بليلة عيد الفصح في أنحاء العالم","https://www.maariv.co.il","At the last minute: Planned easing of restrictions at Ben Gurion Airport canceled","רחוקים מהבית: כך יחגגו אלפי ישראלים את ליל הסדר בעולם","في اللحظة الأخيرة: إلغاء التسهيلات التي كانت مقررة لمطار بن غوريון","[""مأساة في نهاريا: مقتل المرحوم أوري بيريتس جراء إصابة صاروخية، ونقل 25 شخصاً إلى المستشفى"",""تحول في التحقيق: وفاة يهودا شيرمان بالقرب من حومش كانت عملية دهس"",""مقتل الرقيب أفياد ألحنان ولانسكي بصاروخ مضاد للدبابات في لبنان"",""ليلة من الرشقات الصاروخية من إيران: صاروخ واحد على الأقل كان يحمل قنבלة عنقودية"",""حزب الله يهب لنجدة إيران - وسيندم على ذلك قريباً جداً""]","maariv","Maariv","[""Tragedy in Nahariya: The late Uri Peretz was killed by a missile strike, 25 people evacuated to the hospital"",""Turning point in the investigation: Yehuda Sherman's death near Homesh was a ramming attack"",""Sergeant Aviad Elchanan Wolanski was killed by an anti-tank missile in Lebanon"",""Night of launches from Iran: At least one of the missiles carried a cluster bomb"",""Hezbollah comes to Iran's aid - and will regret it very soon""]","2026-03-27T14:53:56.372Z","69c51235f7d36a952ae198b3","2026-03-26T11:02:13.505000","2026-03-27T14:53:56.855000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"US","הסנאט פועל למימון מרבית המחלקה לביטחון המולדת במושב לילה נדיר","Choi Ga-on’s incredible journey from fractured back to Olympic gold","","[""טראמפ אומר כי ארה\""ב תעכב את התקיפות על אתרי אנרגיה איראניים ב-10 ימים נוספים"",""בית המשפט העליון ידון בעתיד של אזרחות מכוח לידה"",""סוואנה גאת'רי מדברת לאחר היעלמותה של אמה"",""מושל קליפורניה חתם על הצעת חוק לשינוי שמו של יום סזאר צ'אבס ליום העובדים החקלאיים"",""המסחר בנפט זינק דקות לפני הפוסט של טראמפ על שיחות \""פרודוקטיביות\""""]","رحلة تشوي غا أون المذهلة من كسر في الظهر إلى الذهب الأولمبي","https://edition.cnn.com","Senate moves to fund most of DHS in rare overnight session","המסע המדהים של צ'וי גא-און מגב שבור לזהב אולימפי","مجلس الشيوخ يتحرك لتمويل معظم وزارة الأمن الداخلي في جلسة ليلية نادرة","[""ترامب يقول إن الولايات المتحدة ستؤجل الضربات على مواقع الطاقة الإيرانية لمدة 10 أيام أخرى"",""المحكمة العليا تنظر في مستقبل المواطنة بالولادة"",""سافانا غوثري تتحدث بعد اختفاء والدتها"",""حاكم كاليفورنيا يوقع مشروع قانون لتغيير اسم يوم سيزار تشافيز إلى يوم عمال المزارع"",""قفزت تجارة النفط قبل دقائق من منشور ترامب حول المحادثات \""المثمرة\""""]","cnn","CNN","[""Trump says US will delay strikes on Iranian energy sites for another 10 days"",""Supreme Court to consider the future of birthright citizenship"",""Savannah Guthrie speaks out after mother's disappearance"",""California Governor signs bill renaming César Chavez Day as Farmworkers Day"",""Oil trading surged minutes before Trump's 'productive' talks post""]","2026-03-27T14:52:47.029Z","69c07845fd3b982f3fee54e4","2026-03-22T23:16:21.598000","2026-03-27T14:52:47.550000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"PS","צעיר פלסטיני נהרג מירי כוחות הכיבוש במחנה הפליטים קלנדיה","Church leaders in Jerusalem call for an immediate end to bloodshed in their Easter message","https://www.wafa.ps/ar_page/get_file_url/f9d6a36f-8086-4444-934c-6f81e6b074e4.jpg","[""כוחות הכיבוש מונעים את התפילה במסגד אל-אקצא זה יום השישי הרביעי ברציפות"",""מתנחלים פצעו קשישה ואת בניה וגנבו 30 ראשי צאן ממזרח לשכם"",""פציעת שני ילדים מירי כוחות הכיבוש ממזרח למחנה אל-מר'אזי במרכז עזה"",""תקיפות אוויריות וארטילריות ישראליות מכוונות נגד אזרחים בדרום לבנון"",""המשטרה מטפלת ב-39 רסיסי טילים במספר מחוזות בגדה המערבית""]","رؤساء الكنائس في القدس يدعون في رسالة عيد الفصح إلى الوقف الفوري لسفك الدماء","https://www.wafa.ps","A young Palestinian man was killed by Israeli occupation forces' fire in the Qalandia refugee camp","ראשי הכנסיות בירושלים קוראים במסר לחג הפסחא להפסקה מיידית של שפיכות הדמים","استشهاد شاب برصاص الاحتلال في مخيم قلنديا","[""الاحتلال يمنع الصلاة في المسجد الأقصى للجمعة الرابعة على التوالي"",""مستعمرون يصيبون مسنة وأولادها ويسرقون 30 رأسا من الأغنام شرق نابلس"",""إصابة طفلين برصاص الاحتلال شرق مخيم المغازي وسط غزة"",""قصف جوي ومدفعي إسرائيلي يستهدف مدنيين في جنوب لبنان"",""الشرطة تتعامل مع 39 شظية لصاروخ في عدة محافظات بالضفة الغربية""]","wafa","WAFA","[""Israeli occupation forces prevent Friday prayers at Al-Aqsa Mosque for the fourth consecutive week"",""Settlers injure an elderly woman and her sons and steal 30 heads of sheep east of Nablus"",""Two children injured by Israeli occupation gunfire east of Al-Maghazi camp in central Gaza"",""Israeli air and artillery strikes target civilians in southern Lebanon"",""Police handle 39 rocket fragments across several governorates in the West Bank""]","2026-03-27T14:52:34.298Z","69c07842fca4e3ec721db3da","2026-03-22T23:16:18.959000","2026-03-27T14:52:34.743000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"GB","טראמפ מאריך את המועד האחרון לאיראן לפתיחה מחדש של נתיב הנפט","Israel says it has killed Iran's Navy chief overseeing Strait of Hormuz blockade","","[""טים דייבי יעמוד בראש המועצה לתעשיות יצירתיות לאחר עזיבת ה-BBC"",""שרי החוץ של ה-G7 נפגשים בפריז לדיון במשבר במזרח התיכון"",""מטא וגוגל יערערו על פסיקה בנוגע לפלטפורמות ממכרות"",""הפנטגון מכחיש דיווחים על כוונה לשלוח 10,000 חיילים למזרח התיכון"",""ניקולס מדורו מוונצואלה צפוי להופיע בבית משפט בניו יורק""]","إسرائيل تقول إنها قتلت قائد البحرية الإيرانية المشرف على حصار مضيق هرمز","https://www.bbc.com","Trump extends deadline for Iran to reopen oil route","ישראל טוענת כי חיסלה את מפקד חיל הים של איראן המפקח על המצור במצר הורמוז","ترامب يمدد الموعد النهائي لإيران لإعادة فتح طريق النفط","[""تيم ديفي يترأس مجلس الصناعات الإبداعية بعد مغادرته بي بي سي"",""وزراء خارجية مجموعة السبع يجتمعون في باريس لمناقشة أزمة الشرق الأوسط"",""ميتا وجوجل تستأنفان قراراً بشأن المنصات المسببة للإدمان"",""البنتاغون ينفي تقارير عن إرسال 10,000 جندي إلى الشرق الأوسط"",""نيكولاس مادورو الفنزويلي يمثل أمام محكمة في نيويورك""]","bbc","BBC","[""Tim Davie to lead Creative Industries Council after BBC exit"",""G7 ministers meet in Paris on Middle East crisis"",""Meta and Google to appeal ruling on addictive platforms"",""Pentagon denies report on sending 10,000 troops to Middle East"",""Venezuela's Nicolas Maduro to appear in New York court""]","2026-03-27T14:52:52.060Z","69c078322b7170d926cfd936","2026-03-22T23:16:02.377000","2026-03-27T14:52:52.544000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"LB","שיחות הפסקת אש בין ארה""ב לאיראן? דיווחים סותרים בעוד טהראן מכחישה קיום משא ומתן","Israeli Strikes Hit Beirut Suburbs as Fighting With Hezbollah Intensifies","","[""סמיר ג'עג'ע קורא לאיראן לפצות את לבנון על הפסדי המלחמה"",""בתוך ההצעה האיראנית בת 15 הנקודות המעוררת מתיחות בין ארה\""ב לישראל"",""\""זה לא הסוף\"": נתניהו מאותת על תקיפות נוספות למרות השיחות"",""פריצת הדרך הלוויינית של סין: מהירה יותר מסטארלינק ממרחק של 36,000 ק\""מ"",""איראן מאיימת לסגור את מצר הורמוז בעוד ארה\""ב מציבה אולטימטום""]","غارات إسرائيلية تستهدف ضواحي بيروت مع تكثيف القتال مع حزب الله","https://www.dailystar.com.lb","US-Iran Ceasefire Talks? Reports Clash as Tehran Denies Negotiations","תקיפות ישראליות פגעו בפרברי ביירות ככל שהלחימה עם חיזבאללה מתעצמת","محادثات وقف إطلاق النار بين الولايات المتحدة وإيران؟ تقارير متضاربة بينما تنفي طهران المفاوضات","[""سمير جعجع يدعو إيران لتعويض لبنان عن خسائر الحرب"",""داخل المقترح الإيراني المكون من 15 نقطة الذي يثير التوتر بين واشنطن وتل أبيب"",""\""هذه ليست النهاية\"": نتنياهو يلوح بمزيد من الضربات رغم المحادثات"",""إنجاز صيني في مجال الأقمار الصناعية: أسرع من \""ستارلينك\"" من مسافة 36,000 كم"",""إيران تهدد بإغلاق مضيق هرمز مع إصدار الولايات المتحدة إنذاراً نهائياً""]","daily_star","Daily Star","[""Samir Geagea Calls on Iran to Compensate Lebanon for War Losses"",""Inside the 15-Point Iran Proposal Causing Tension Between US and Israel"",""“This Is Not the End”: Netanyahu Signals More Strikes Despite Talks"",""China's Satellite Breakthrough: Faster Than Starlink from 36,000 km Away"",""Iran Threatens to Close Strait of Hormuz as US Issues Ultimatum""]","2026-03-27T14:53:22.145Z","69c07817f197dce9819b4fff","2026-03-22T23:15:35.790000","2026-03-27T14:53:22.638000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"MA","קוסטה ריקה תומכת בתוכנית האוטונומיה של מרוקו כפתרון ה'בר-ביצוע ביותר' לסהרה","Moroccan Authorities Seize 20kg of Cocaine at Guerguerat Border Crossing","","[""מרוקו נגד אקוודור: איך ומתי לצפות במשחק הידידות הבינלאומי"",""נשיאת HACA מבקרת בניז'ר כדי לחזק את שיתוף הפעולה התקשורתי הבילטרלי"",""משטרת קזבלנקה עצרה חמישה בגין תקיפות באבנים וחשד לניסיון הצתה"",""מרוקו נערכת לסופות עזות, ברד ושלג בסוף השבוע הזה"",""בלעדי: מחלקת המדינה של ארה\""ב מציינת אמצעי אבטחה בעוד מאות זוכים מרוקאים ב-DV-2026 ממתינים לראיונות""]","السلطات المغربية تضبط 20 كيلوغراما من الكوكايين بمعبر الكركرات","https://www.moroccoworldnews.com","Costa Rica Backs Morocco's Autonomy Plan as 'Most Feasible' Sahara Solution","רשויות מרוקו תפסו 20 ק""ג קוקאין במעבר הגבול גרגרט","كوستاريكا تدعم مبادرة الحكم الذاتي المغربية كأكثر الحلول 'واقعية' للصحراء","[""المغرب ضد الإكوادور: كيف ومتى تشاهد المباراة الودية الدولية"",""رئيسة الهاكا تزور النيجر لتعزيز التعاون الإعلامي الثنائي"",""شرطة الدار البيضاء توقف خمسة أشخاص بسبب هجمات بالحجارة وشبهة محاولة إحراق عمدي"",""المغرب يستعد لعواصف قوية وبرد وثلوج نهاية هذا الأسبوع"",""حصري: الخارجية الأمريكية تتذرع بإجراءات أمنية بينما ينتظر مئات المغاربة الفائزين بقرعة DV-2026 إجراء المقابلات""]","morocco_world","Morocco World News","[""Morocco vs. Ecuador: How & When to Watch International Friendly"",""HACA President Visits Niger to Boost Bilateral Media Cooperation"",""Casablanca Police Arrest Five Over Stone Attacks, Suspected Arson Attempt"",""Morocco Braces for Heavy Storms, Hail and Snow This Weekend"",""Exclusive: US State Department Cites Security Measures as Hundreds of Moroccan DV-2026 Winners Await Interviews""]","2026-03-27T14:53:58.081Z","69c0780ff873df1d5fd60af9","2026-03-22T23:15:27.872000","2026-03-27T14:53:58.842000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"SY","בהשתתפות סוריה.. החלו עבודות פסגת 'התקשורת האסטרטגית הבינלאומית לנת 2026' בטורקיה","Minister Al-Shibani discusses enhancing relations and regional developments with the Ambassador of the Kingdom of Norway","https://sana.sy/wp-content/uploads/2026/03/photo_2_2026-03-26_22-41-10.jpg","[""הכרזה על הוועדה הפאראלימפית הלאומית הסורית כגוף עצמאי"",""איטליה העפילה לגמר הפלייאוף האירופי למונדיאל 2026"",""כוחות הכיבוש הישראליים עוצרים שני אזרחים באזור הכפרי הדרומי של קוניטרה"",""שכונות בקאבון שבדמשק נוקו משרידי מלחמה"",""משרד הבריאות משיק קמפיין לחיזוק החיסון השגרתי נגד שיתוק ילדים בארבעה מחוזות""]","الوزير الشيباني يبحث مع سفيرة مملكة النرويج تعزيز العلاقات والمستجدات الإقليمية","https://sana.sy","With Syria's participation.. the International Strategic Communication Summit 2026 begins in Turkey","השר א-שיבאני דן עם שגרירת ממלכת נורבגיה בחיזוק היחסים ובהתפתחויות האזוריות","بمشاركة سوريا.. بدء أعمال قمة 'الاتصال الاستراتيجي الدولية لعام 2026' في تركيا","[""إشهار اللجنة البارالمبية الوطنية السورية كهيئة مستقلة"",""إيطاليا تبلغ نهائي المسار الأوروبي المؤهل لكأس العالم 2026"",""قوات الاحتلال الإسرائيلي تعتقل مواطنين اثنين في ريف القنيطرة الجنوبي"",""تحرير أحياء في القابون بدمشق بعد تطهيرها من مخلفات الحرب"",""وزارة الصحة تطلق حملة لتعزيز التلقيح الروتيني ضد شلل الأطفال في أربع محافظات""]","sana","SANA","[""Declaration of the Syrian National Paralympic Committee as an independent body"",""Italy reaches the final of the European playoff for the 2026 World Cup"",""Israeli occupation forces arrest two citizens in the southern Quneitra countryside"",""Neighborhoods in Qaboun, Damascus, cleared of war remnants"",""Health Ministry launches a campaign to boost routine polio vaccination in four governorates""]","2026-03-27T14:53:11.034Z","69c0780f388b15d3509b0019","2026-03-22T23:15:27.259000","2026-03-27T14:53:12.012000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
"BH","הוד מלכותו המלך בראש מקבלי הפנים של נשיא הרפובליקה הערבית של מצרים עם הגעתו למדינה","Bahrain Defence Force: Air defense systems continue to successfully counter Iranian aggression","","[""כוח ההגנה: יירוט 145 טילים בליסטיים ו-246 כטב\""מים מאז תחילת התוקפנות"",""בריטניה מאשרת מחדש את תמיכתה בביטחון ובביציבות של ממלכת בחריין"",""הנשיא זלנסקי: אוקראינה עומדת בסולידריות מלאה עם בחריין"",""משרד החוץ: פגיעה באזורים אזרחיים היא הפרה בוטה של המשפט הבינלאומי"",""ענייני התעופה האזרחית: שינויים זמניים בטיסות בנמל התעופה הבינלאומי של בחריין""]","قوة دفاع البحرين: منظومات الدفاع الجوي تواصل التصدي بنجاح لعمليات العدوان الإيراني","https://www.bna.bh","HM the King leads well-wishers in welcoming the President of the Arab Republic of Egypt upon arrival in the country","כוח ההגנה של בחריין: מערכות ההגנה האווירית ממשיכות להדוף בהצלחה את התוקפנות האיראנית","جلالة الملك المعظم في مقدمة مستقبلي فخامة رئيس جمهورية مصر العربية لدى وصوله إلى البلاد","[""قوة دفاع البحرين: اعتراض 145 صاروخاً باليستياً و246 طائرة مسيرة منذ بدء العدوان"",""المملكة المتحدة تؤكد دعمها لأمن واستقرار مملكة البحرين"",""الرئيس زيلينسكي: أوكرانيا تقف بتضامن كامل مع البحرين"",""وزارة الخارجية: استهداف المناطق المدنية انتهاك صارخ للقانون الدولي"",""شئون الطيران المدني: تغييرات مؤقتة في الرحلات بمطار البحرين الدولي""]","bna","BNA","[""BDF: 145 ballistic missiles and 246 drones intercepted since the start of aggression"",""UK reaffirms support for Bahrain's security and stability"",""President Zelenskyy: Ukraine stands in full solidarity with Bahrain"",""Foreign Ministry: Targeting civilian areas is a flagrant violation of international law"",""Civil Aviation Affairs: Temporary changes to flights at Bahrain International Airport""]","2026-03-27T14:51:22.924Z","69c077e5aecd96f85f4b4808","2026-03-22T23:14:45.874000","2026-03-27T14:51:23.419000","69c06dc99c3317f6270e2f98","ronen.mashiach@gmail.com","false"
